Wer ist aktuell die Kassenleiterin der EAK? ; Andrea Steiner
Wer ist der Chef der Leistungen? ; Carlo Natale
Wie ist die Telefonnummer der EAK? ; +41 58 462 64 25
Wann wird meine Altersrente im Juni 2023 ausbezahlt? ; 07.06.2023
Wann tritt die neue AHV-Reform in Kraft? ; 1.1.2024
Was ändert sich mit der AHV-Reform? ; Referenzalter für Frauen, 65
Wie wird eine Altersrente berechnet? ; Die Berechnungselemente der Renten sind: die anrechenbaren Beitragsjahre (wichtig für die Bestimmung der Rentenskala) und die Erwerbseinkommen sowie die Erziehungs- und Betreuungsgutschriften.
Wann kann ich eine Hilflosenentschädigung beantragen? ; Wenn Sie in leichtem, mittelschwerem oder schwerem Grad hilflos sind, die Hilflosigkeit ununterbrochen mindestens ein Jahr gedauert hat, kein Anspruch auf eine Hilflosenentschädigung der obligatorischen Unfallversicherung oder der Militärversicherung besteht.
Bis wann erhalte ich für mein Kind Familienzulagen? ; Kind unter 25 Jahren mit einem jährlichen AHV-pflichtigen Erwerbseinkommen von mindestens CHF 7'350.-
Wie hoch ist die Ausbildungszulage im Kanton Basel-Stadt? ; CHF 325.-
Wie hoch ist der Mindestansatz für Ausbildungszulagen? ; CHF 250.-
Wie hoch ist die Gesamtlohnsumme im Jahr 2021 aller angeschlossenen Arbeitgeber? ; CHF 15'016'000'000
Wie viele Nichterwerbstätige sind im Jahr 2021 bei der EAK versichert? ;6300
Muss ich auch nach der Pensionierung AHV-Beiträge bezahlen? ; Übertritt in den Ruhestand vor dem ordentlichen Rentenalter, Arbeiten im Rentenalter über 1400.- im Monat
Weshalb werden die Renten eines Ehepaares plafoniert? ; Die Summe der beiden Einzelrenten eines Ehepaars darf nicht grösser sein als 150% der Maximalrente.
Wer ist die Revisionsstelle der EAK? ; T&R
Wie viele Taggelder wurden im Jahr 2021 gem. Betriebsrechnung ausbezahlt? ; 14
Wie viele Einsprachen sind im Jahr 2021 eingegangen? ; 70 Einsprachen
Wer ist der Direktor der Zentralen Ausgleichsstelle ZAS? ; Adrien Dupraz
Wer ist der Stellvertreter der Kassenleiterin der EAK? ; Bruno Tenner und Christoph Brunschwiler
Wer ist derzeit für das Kundenbeziehungsmanagement verantwortlich? ; Vakant
Wer leitet den Rechtsdienst der EAK? ; Brigitte Gautschi
Wer leitet das Personalwesen der EAK? ; Carmen Hofer
Wer leitet die Sektion Zentrale Dienste der EAK? ; Bruno Tenner
Welche Bereiche umfasst die Sektion Zentrale Dienste der EAK? ; Informatik, Buchhaltung und Entwicklung/Projekte
Wer leitet die Sektion Beiträge der EAK? ; Christoph Brunschwiler
Wer leitet die Sektion Leistungen der EAK? ; Carlo Natale
Wer leitet die Familienausgleichskasse der EAK? ; Anick Herren
Wie heißt der Direktor der Zentralen Ausgleichsstelle ZAS? ; Adrien Dupraz
Wie viel ist das minimum dass ich kriege wenn ich bin pensioniert? ; Die minimale vollständige Altersrente der AHV beträgt 14'700 Franken pro Jahr.
